DR,Sigurlogi,Sigurloga
ST,Sigvalda,Sigvöldu
DR,Silli,Silla
ST,Silvana,Silvönu
ST,Sirra,Sirru
ST,Siv,Sivar
ST,Sjana,Sjönu
DR,Skellir,Skellis
ST,Skugga,Skuggu
DR,Skuggi,Skugga
ST,Skuld,Skuldar
DR,Skær,Skæs
ST,Snjáka,Snjáku
DR,Snjóki,Snjóka
DR,Snæbjartur,Snæbjarts
DR,Snæringur,Snærings
ST,Sonný,Sonnýjar
ST,Sophia,Sophiu
ST,Sophie,Sophie
ST,Sólbjörg,Sólbjargar
ST,Sólín,Sólínar
ST,Sólkatla,Sólkötlu
ST,Sólrós,Sólrósar
ST,Sónata,Sónötu
DR,Spartakus,Spartakusar
DR,Sporði,Sporða
DR,Spói,Spóa
DR,Stapi,Stapa
DR,Sturri,Sturra
ST,Susan,Susönnu
ST,Súla,Súlu
ST,Súsan,Súsönnu
ST,Svaney,Svaneyjar
DR,Svani,Svana
DR,Sverre,Sverres
ST,Sylva,Sylvu
ST,Sæbjörg,Sæbjargar
ST,Sæbrá,Sæbráar
DR,Sæi,Sæa
ST,Sæsól,Sæsólar
DR,Tarfur,Tarfs
DR,Tindar,Tindars
ST,Tía,Tíu
DR,Tími,Tíma
DR,Tjaldur,Tjalds
DR,Tolli,Tolla
DR,Tonni,Tonna
ST,Torfheiður,Torfheiðar
ST,Tóbý,Tóbýjar
DR,Tói,Tóa
DR,Tóki,Toka
ST,Tristana,Tristönu
ST,Trú,Trúar
DR,Uxi,Uxa
DR,Úddi,Údda
ST,Úlfey,Úlfeyjar
DR,Úlftýr,Úlftýs
ST,Úna,Únu
ST,Valgerða,Valgerðu
ST,Varða,Vörðu
DR,Váli,Vála
DR,Vápni,Vápnis
ST,Vár,Várar
ST,Veig,Veigar
ST,Venný,Vennýjar
ST,Vetrarrós,Vetrarrósar
ST,Vigný,Vignýjar
DR,Vilbjörn,Vilbjarnar
DR,Vili,Vila
ST,Villimey,Villimeyjar
DR,Vinjar,Vinjars
ST,Vinsý,Vinsýjar
ST,Víbekka,Víbekku
DR,Vígberg,Vígbergs
ST,Víggunnur,Víggunnar
DR,Vígmar,Vígmars
ST,Víóla,Víólu
ST,Vísa,Vísu
ST,Voney,Voneyjar
DR,Vöttur,Vattar
DR,Ylur,Yls
ST,Ýja,Ýju
ST,Ýma,Ýmu
DR,Zakaría,Zakarías
ST,Þalía,Þalíu
ST,Þeódís,Þeódísar
DR,Þinur,Þins
DR,Þjóðann,Þjóðans
ST,Þoka,Þoku
ST,Þollý,Þollýjar
DR,Þórar,Þórars
DR,Þóri,Þóra
DR,Þórinn,Þórins
DR,Þróttur,Þróttar
ST,Þúfa,Þúfu
ST,Þyrnirós,Þyrnirósar
DR,Æsir,Æsis
ST,Ævör,Ævarar
